Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Cabin_n,Transported,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,CryoSleep_False,CryoSleep_True,Cabin_d_A,Cabin_d_B,Cabin_d_C,Cabin_d_D,Cabin_d_E,Cabin_d_F,Cabin_d_G,Cabin_d_T,Cabin_s_P,Cabin_s_S,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,VIP_False,VIP_True
39.0,0.0,0.0,0.0,0.0,0.0,0,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False
24.0,109.0,9.0,25.0,549.0,44.0,0,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False
58.0,43.0,3576.0,0.0,6715.0,49.0,0,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True
33.0,0.0,1283.0,371.0,3329.0,193.0,0,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False
16.0,303.0,70.0,151.0,565.0,2.0,1,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False
44.0,0.0,483.0,0.0,291.0,0.0,0,True,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False
26.0,42.0,1539.0,3.0,0.0,0.0,2,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False
35.0,0.0,785.0,17.0,216.0,0.0,3,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False
14.0,0.0,0.0,0.0,0.0,0.0,1,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False
45.0,39.0,7295.0,589.0,110.0,124.0,1,True,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False
32.0,73.0,0.0,1123.0,0.0,113.0,1,True,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False
48.0,719.0,1.0,65.0,0.0,24.0,1,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False
28.0,8.0,974.0,12.0,2.0,7.0,2,True,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False
24.0,0.0,1.0,0.0,0.0,637.0,4,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False
45.0,0.0,0.0,0.0,0.0,0.0,5,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False
0.0,0.0,0.0,0.0,0.0,0.0,0,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False
14.0,412.0,0.0,1.0,0.0,679.0,6,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False
1.0,0.0,0.0,0.0,0.0,0.0,0,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False
49.0,0.0,0.0,0.0,0.0,0.0,0,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False
10.0,0.0,0.0,0.0,0.0,0.0,0,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False
7.0,0.0,0.0,0.0,0.0,0.0,0,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False
21.0,980.0,2.0,69.0,0.0,0.0,0,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False
15.0,0.0,225.0,0.0,998.0,0.0,6,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False
34.0,22.0,6073.0,0.0,1438.0,328.0,0,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False
43.0,1125.0,0.0,136.0,48.0,0.0,8,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False
32.0,0.0,850.0,81.0,437.0,453.0,4,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False
47.0,214.0,0.0,1411.0,0.0,1229.0,9,True,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False
2.0,0.0,0.0,0.0,0.0,0.0,9,True,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False
28.0,0.0,0.0,0.0,0.0,0.0,1,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False
23.0,784.0,964.0,0.0,951.0,0.0,1,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False
20.0,554.0,195.0,0.0,2606.0,0.0,10,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False
17.0,0.0,0.0,0.0,0.0,0.0,2,True,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False
45.0,0.0,164.0,45.0,2511.0,855.0,3,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False
55.0,0.0,0.0,0.0,0.0,0.0,3,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False
4.0,0.0,0.0,0.0,0.0,0.0,3,True,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False
21.0,0.0,0.0,0.0,0.0,0.0,3,True,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False
21.0,970.0,0.0,180.0,0.0,64.0,10,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False
56.0,0.0,112.0,0.0,1379.0,127.0,2,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False
